chef_lieu;num_dpt;nom_ddpt;pref;num_circ;nom_commune;codes_postaux;code_insee;latitude;longitude;dist
Lyon;38;Isère;Grenoble;1;Bernin;38190;38039;45.266667;5.866667;1.42
Lyon;38;Isère;Grenoble;1;Biviers;38330;38045;45.233333;5.8;1.18
Lyon;38;Isère;Grenoble;1;Corenc;38700;38126;45.216667;5.766667;1.05
Lyon;38;Isère;Grenoble;1;Grenoble;38000;38185;45.166667;5.716667;0.87
Lyon;38;Isère;Grenoble;1;La Tronche;38700;38516;45.2;5.733333;1.32
Lyon;38;Isère;Grenoble;1;Le Sappey-en-Chartreuse;38700;38471;45.266667;5.783333;1.13
Lyon;38;Isère;Grenoble;1;Meylan;38240;38229;45.233333;5.783333;1.12
Lyon;38;Isère;Grenoble;1;Montbonnot-Saint-Martin;38330;38249;45.233333;5.8;1.18
Lyon;38;Isère;Grenoble;1;Saint-Ismier;38330;38397;45.25;5.833333;1.5
Lyon;38;Isère;Grenoble;1;Saint-Nazaire-les-Eymes;38330;38431;;;
Lyon;38;Isère;Grenoble;2;Bresson;38320;38057;45.133333;5.75;0.99
Lyon;38;Isère;Grenoble;2;Brié-et-Angonnes;38320;38059;45.116667;5.8;1.67
Lyon;38;Isère;Grenoble;2;Champagnier;38800;38068;45.1;5.716667;1.15
Lyon;38;Isère;Grenoble;2;Champ-sur-Drac;38560;38071;45.066667;5.733333;1.31
Lyon;38;Isère;Grenoble;2;Chamrousse;38410;38567;45.133333;5.9;1.58
Lyon;38;Isère;Grenoble;2;Echirolles;38130;38151;45.133333;5.716667;0.98
Lyon;38;Isère;Grenoble;2;Eybens;38320;38158;45.15;5.75;1.11
Lyon;38;Isère;Grenoble;2;Gières;38610;38179;45.183333;5.783333;1.12
Lyon;38;Isère;Grenoble;2;Herbeys;38320;38188;45.133333;5.783333;1.12
Lyon;38;Isère;Grenoble;2;Jarrie;38560;38200;45.116667;5.766667;1.07
Lyon;38;Isère;Grenoble;2;Laffrey;38220;38203;45.033333;5.766667;1.47
Lyon;38;Isère;Grenoble;2;Montchaboud;38220;38252;45.1;5.766667;1.15
Lyon;38;Isère;Grenoble;2;Notre-Dame-de-Commiers;38450;38277;45.016667;5.7;1.56
Lyon;38;Isère;Grenoble;2;Notre-Dame-de-Mésage;38220;38279;45.066667;5.766667;1.31
Lyon;38;Isère;Grenoble;2;Poisat;38320;38309;45.15;5.766667;1.05
Lyon;38;Isère;Grenoble;2;Saint-Barthélemy-de-Séchilienne;38220;38364;;;
Lyon;38;Isère;Grenoble;2;Saint-Georges-de-Commiers;38450;38388;45.033333;5.7;1.47
Lyon;38;Isère;Grenoble;2;Saint-Jean-de-Vaulx;38220;38402;45.016667;5.75;1.56
Lyon;38;Isère;Grenoble;2;Saint-Martin-d'Hères;38400;38421;45.166667;5.766667;1.05
Lyon;38;Isère;Grenoble;2;Saint-Pierre-de-Mésage;38220;38445;45.05;5.766667;1.39
Lyon;38;Isère;Grenoble;2;Séchilienne;38220;38478;45.066667;5.833333;1.31
Lyon;38;Isère;Grenoble;2;Vaulnaveys-le-Bas;38410;38528;45.1;5.816667;1.24
Lyon;38;Isère;Grenoble;2;Vaulnaveys-le-Haut;38410;38529;45.116667;5.8;1.18
Lyon;38;Isère;Grenoble;2;Venon;38610;38533;45.166667;5.8;1.18
Lyon;38;Isère;Grenoble;2;Vizille;38220;38562;45.083333;5.766667;1.23
Lyon;38;Isère;Grenoble;3;Fontaine;38600;38169;45.183333;5.666667;0.74
Lyon;38;Isère;Grenoble;3;Grenoble;38000;38185;45.166667;5.716667;0.87
Lyon;38;Isère;Grenoble;3;Noyarey;38360;38281;45.25;5.633333;1.12
Lyon;38;Isère;Grenoble;3;Sassenage;38360;38474;45.2;5.666667;0.86
Lyon;38;Isère;Grenoble;3;Veurey-Voroize;38113;38540;45.266667;5.616667;0.5
Lyon;38;Isère;Grenoble;4;Allemont;38114;38005;;;
Lyon;38;Isère;Grenoble;4;Ambel;38970;38008;44.816667;5.933333;2.54
Lyon;38;Isère;Grenoble;4;Auris;38142;38020;45.05;6.083333;2.22
Lyon;38;Isère;Grenoble;4;Autrans;38880;38021;45.166667;5.55;0.82
Lyon;38;Isère;Grenoble;4;Avignonet;38650;38023;44.95;5.683333;1.88
Lyon;38;Isère;Grenoble;4;Beaufin;38970;38031;44.783333;5.95;2.7
Lyon;38;Isère;Grenoble;4;Besse;38142;38040;45.066667;6.166667;2.53
Lyon;38;Isère;Grenoble;4;Chantelouve;38740;38073;;;
Lyon;38;Isère;Grenoble;4;Château-Bernard;38650;38090;44.983333;5.583333;1.72
Lyon;38;Isère;Grenoble;4;Chichilianne;38930;38103;44.816667;5.566667;2.54
Lyon;38;Isère;Grenoble;4;Cholonge;38220;38106;45;5.8;1.64
Lyon;38;Isère;Grenoble;4;Claix;38640;38111;45.116667;5.666667;1.07
Lyon;38;Isère;Grenoble;4;Clavans-en-Haut-Oisans;38142;38112;45.066667;6.15;2.47
Lyon;38;Isère;Grenoble;4;Clelles;38930;38113;44.833333;5.616667;2.46
Lyon;38;Isère;Grenoble;4;Cognet;38350;38116;44.883333;5.783333;2.21
